"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"잘못된 비밀번호 로그인 시도 후 오류 메시지 확인","1845","test_login_failure_password","tests","Mon Mar 09 10:57:40 UTC 2026","passed","Mon Mar 09 10:57:41 UTC 2026","TestLogin","test_login","",""
"회원정보 수정 API 호출 시 정보 수정 확인","887","test_update_account","tests.api","Mon Mar 09 10:57:27 UTC 2026","passed","Mon Mar 09 10:57:28 UTC 2026","TestUserAPI","test_api_user","",""
"상품 목록 API에 잘못된 HTTP 메서드 사용 시 405 응답 확인","378","test_post_products_list_no_allowed","tests.api","Mon Mar 09 10:57:26 UTC 2026","passed","Mon Mar 09 10:57:26 UTC 2026","TestProductsAPI","test_api_products","",""
"상품 검색 API 호출 시 200 응답과 검색 결과 확인","352","test_search_products","tests.api","Mon Mar 09 10:57:25 UTC 2026","passed","Mon Mar 09 10:57:26 UTC 2026","TestProductsAPI","test_api_products","",""
"유효한 키워드 입력 시 검색 결과 1개 이상 노출 확인","2058","test_search_valid_keyword","tests","Mon Mar 09 10:57:42 UTC 2026","passed","Mon Mar 09 10:57:44 UTC 2026","TestSearch","test_search","",""
"유효한 계정으로 로그인 API 호출 시 200 응답과 토큰 확인","334","test_login_sucess","tests.api","Mon Mar 09 10:57:24 UTC 2026","passed","Mon Mar 09 10:57:25 UTC 2026","TestLoginAPI","test_api_login","",""
"상품 검색 파라미터 없이 호출 시 400 응답 확인","130","test_search_products_no_parameter","tests.api","Mon Mar 09 10:57:26 UTC 2026","passed","Mon Mar 09 10:57:26 UTC 2026","TestProductsAPI","test_api_products","",""
"상품 목록 API 호출 시 200 응답과 상품 데이터 확인","372","test_get_products","tests.api","Mon Mar 09 10:57:25 UTC 2026","passed","Mon Mar 09 10:57:25 UTC 2026","TestProductsAPI","test_api_products","",""
"존재하지 않는 키워드 입력 시 결과 0개 확인","11655","test_search_no_result","tests","Mon Mar 09 10:57:44 UTC 2026","passed","Mon Mar 09 10:57:56 UTC 2026","TestSearch","test_search","",""
"","329","test_login_failure","tests.api","Mon Mar 09 10:57:25 UTC 2026","passed","Mon Mar 09 10:57:25 UTC 2026","TestLoginAPI","test_api_login","",""
"유효한 계정으로 로그인 후 URL 변경 확인","3280","test_login_success","tests","Mon Mar 09 10:57:36 UTC 2026","passed","Mon Mar 09 10:57:39 UTC 2026","TestLogin","test_login","",""
"회원 삭제 API 호출 시 계정 삭제 확인","276","test_delete_account","tests.api","Mon Mar 09 10:57:27 UTC 2026","passed","Mon Mar 09 10:57:27 UTC 2026","TestUserAPI","test_api_user","",""
"회원가입 API 호출 시 201 응답과 성공 메시지 확인","536","test_create_account","tests.api","Mon Mar 09 10:57:26 UTC 2026","passed","Mon Mar 09 10:57:27 UTC 2026","TestUserAPI","test_api_user","",""
