"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","상품","0","상품 API","1","0","잘못된 HTTP 메서드 검증","0"
"0","상품","0","상품 검색","1","0","검색 결과 없음","0"
"0","상품","0","상품 검색","1","0","키워드 검색 성공","0"
"0","사용자 인증","0","로그인","1","0","로그인 실패","0"
"0","상품","0","상품 API","1","0","상품 목록 조회","0"
"0","상품","0","상품 API","1","0","상품 검색 api","0"
"0","사용자 인증","0","로그인 API","1","0","이메일 파라미터 누락 검증","0"
"0","사용자 인증","0","로그인 API","1","0","로그인 실패","0"
"0","회원관리","0","회원가입 API","1","0","회원가입","0"
"0","상품","0","상품 API","1","0","상품 검색 - 파라미터 누락","0"
"0","사용자 인증","0","로그인 API","1","0","잘못된 HTTP 메서드 검증","0"
"0","사용자 인증","0","로그인 API","1","0","정상 로그인","0"
"0","회원관리","0","회원가입 API","1","0","회원 삭제","0"
"0","회원관리","0","회원가입 API","1","0","회원정보 수정","0"
"0","상품","0","상품 검색","0","1","검색 결과 없음 - 안내 문구","0"
"0","사용자 인증","0","로그인","1","0","정상 로그인","0"
